Company,rating,reviewer,review_text
Minimalix,1,Hardik Ojha,"I had a very disappointing experience with Minimalics Official.
 
 I joined expecting verified and quality leads, but the leads shared with me turned out to be completely useless and unqualified. Out of the 3 leads I received, two were junk leads that did not meet the promised standards. On the other hand, I payed for 6 leads out of which they shared only 3.
 
 After receiving the poor-quality leads, I emailed the team requesting a replacement, but I never received any response. Even more concerning, the remaining three leads that were supposed to be shared were never provided.
 
 I made multiple phone calls and followed up repeatedly to resolve the issue, but instead of addressing my concerns, they eventually blocked my number. This level of unprofessional behavior and lack of customer support is unacceptable.
 
 Based on my experience, I would not recommend Minimalics Official to anyone looking for reliable lead-sharing services. The leads provided were of poor quality, commitments were not fulfilled, and customer concerns were ignored."
Minimalix,5,Vipin Pal,"Recently I subscribed PLP Pro Plus, out of 6 leads 4 visit is done 1 convertrted and remaining 2 leads in follow-up. Good company"
Minimalix,5,Johnsan Barla,As per my overall experience Minimalix is one of the best company in terms of pricing and customer suppor. Highly recommend
Minimalix,5,The Design Studiokl,"1/5
 
 My experience with Minimalix has been extremely disappointing.
 
 I spent nearly two weeks following their process, providing information, responding to requests, and waiting for results. During this entire period, I did not receive any meaningful leads from my area despite the expectations set when I joined.
 
 After realizing that the service was not delivering what was promised, I requested cancellation and a refund. Since then, I have had to repeatedly follow up for updates. Even after providing all the information they requested, including my bank account details, I continue to receive vague responses stating that the matter is ""under investigation.""
 
 I was specifically told that I would receive an update within 24 hours. That deadline passed without any meaningful response, refund initiation date, or clear timeline for when my money would be returned.
 
 The most frustrating part is the lack of transparency and accountability. Two weeks were wasted waiting for results that never came, and now I am left chasing my own money.
 
 At this point, it feels as though once a customer has paid the money, the company treats it as if it were a donation rather than a payment for a service. Customers should not have to spend weeks waiting for promised results and then spend additional time chasing a refund.
 
 Customers deserve honest communication, timely support, and a refund process that does not require constant follow-ups.
 
 I hope Minimalix resolves this matter immediately and improves the way it handles customer concerns and refund requests"
Minimalix,1,Supriya Vimal,"Very BadMost of the leads were either invalid, not Very Badinterested, or just enquiry
 It felt like a complete waste of money and time. Customer support was also not helpful in resolving the issue. Would not recommend for serious interior professionals"
Minimalix,5,Phula Pal,Excellent experience with minimalix based upon initial collaboration with Minimalix
Minimalix,5,Mohd irshad,"They provide exceptional leads and engage in effective communication, supported by our extensive experience in the industry."
Minimalix,5,Shiv pujan Kumar,
Minimalix,5,Ankush Thukral,"I had a very good experience working with Minimalix. They have been genuinely helpful in providing quality interior client leads. better than many other companies who say to provide the leads. 5/5 ratings from my side , hope to work longer with you."
Minimalix,5,Shasheekant Yadav,Good company with excellent customer service
Minimalix,1,Soniya Chachan,"Extremely poor service. The leads shared were either not interested or completely unresponsive.
 
 It has now been over 2 weeks, and despite repeated follow-ups, I have only been given false assurances that the leads will be replaced. No actual action has been taken.
 
 This has resulted in a complete waste of time and money. Highly disappointed with the lack of professionalism and accountability. Would not recommend their services to anyone.
 
 After posting a genuine review, this is the kind of response you get. No accountability, no effort to resolve—just unprofessional behavior."
Minimalix,5,Imran Ali,"Good service and quality lead's
 Aadarsh ji is a good person."
Minimalix,5,Shubham Chauhan,
Minimalix,5,vinay pawar,Genuine customer service providers good quility leeds
Minimalix,1,Avik Bal,"None of the leads work. They are not verified, and sometimes the clients are taken by complete surprise when I talk about Minimalix. No respectable Designers should ever entertain offers from companies such as this. Also super rude and uneducated customer executives. Money down the drain."
Minimalix,1,Azlaan Mistry,"Thank you for your response. However, my review is based on my genuine experience. The quality of leads and the overall service did not match the commitments made at the time of payment. The issue remained unresolved for around 1.5 months despite raising concerns multiple times.
 
 Also, the statement about being asked to “bring a court order” was communicated during the discussion when I requested a refund. I have no reason to post misleading information here. This review simply reflects the experience I had as a paying customer.
 
 Paid ₹2250 for lead services and it turned out to be a complete waste of money. For 1.5 months, nothing was delivered as promised. When I asked for a refund, I was told to “bring a court order” if I want my money back. Extremely unprofessional behavior and zero accountability. Think twice before trusting them with your money."
Minimalix,5,SG _Sumit 77,Recently i subscribed plp pro of minimalix. Out of 6 leads 2 are converted. Highlily recommended
Minimalix,5,Krish Budgujjar,One of the best company in interior design indust
Minimalix,5,Jitendra patel,Recently i bought PLP Pro plus and out of 6 lead 1 lead is converted and rest of all in process. Recommended to fellow designers
Minimalix,5,Pappu Rajesh,
Minimalix,5,Amit Kumar,Value for money services and excellent customer service. Highly recommend minimalix
Minimalix,5,Anand Baskey,"Minimalix delivers genuine, high quality, verified leads interior design project leads with excellent conversion potential. Their customer support team is prompt, professional, and always ready to resolve concerns efficiently. Highly recommended to fellow designers and architects"
Minimalix,5,Buttu Kumar,Excellent experience
Minimalix,5,Vishal deep Singh,Good company in terms of affordable services and customer support
Minimalix,5,Pawan,Great company in terms of customer support and value for money products. Highly recommended
Minimalix,5,Vikrant Mathur,As per my experince minimalix is one of the best company in the industry. Great customer support
Minimalix,1,Vaibhav Singla,Bad experience please don't buy any packages from minimalix.
Minimalix,5,Vivek Kumar,Indian's #1 interior design leads provider. Their Prequalified and exclusive leads are game changer. And almost 24*7 customer support are available. Highly recommend to fellow designers
Minimalix,5,Anuj Chautela,"Minimalix provides excellent interior design project! The quality, accuracy, and response rate are truly impressive. Their team is supportive , professional and always available to help. High recommended for designers looking to grow their business efficiently and confidently."
Minimalix,5,Shree Lakshami Ganesh Sanitary Ware Hub,"Very very very good service and very good staff, can call 24x7 and the result is also absolutely awesome"
Minimalix,5,faiz malik,Very good company for interior designer leads It’s worth it..!
Minimalix,5,Amit Kumar Chouhan,Excellent company with prompt response. Highly recommended to fellow designers
Minimalix,5,Abhishek Pathak,"I’m throughly impressed with Minimalix. Thire customer support team is top-notch-responsive, helpful, and always ready to assist. The services they offer are excellent value for money, delivering high-quality results that exceeded my expectations. Highly recommend Minimalix for thore professionalism and dedication!"
Minimalix,5,Deepak Singh,"I've using Minimalix leads services since 2023, and it has been an excellent experience . As a interior designer, finding the right client's is crucial and Minimalix consistently connecting me with high-quality leads. their platform is simple, efficient and saves my time. their support team is very responsive and genuinely helping designers to grow. Minimalix made a real difference in my business, and I highly recommend their services."
Minimalix,5,Sonu Chauhan,Minimalix is better than any Indian local directories in terms of Interior design. India's most affordable services for interior design professionals.
Minimalix,5,Surya Pratap Singh,Good company with affordable services
Minimalix,4,Bablu Das,"My experience with Minimalix has been positive overall. They provided genuine interior design project leads at very competitive price, and their team has always been responsive in addressing concerns. However, leads flow tends to vary at times. With better consistency, their service could be even more impactful in the future."
Minimalix,5,Raju Sagar,Affordable services with satisfactory customer support. Prompt response via call/email
Minimalix,5,yaar mere spiceal 22,
Minimalix,5,Dipanshu Guatam,Good company with excellent customer support
Minimalix,5,Sujit Das,Recently I have purchased home renovation leads from Minimalix. I'm 100% satisfied with services and Minimalix's customer support.
Minimalix,5,Sanjay Bhagat,Good company
Minimalix,5,Wishu “Wishu kumar” Kumar,Minimalix exceed expectations! Their lead generation and on demand design services delivered High-quality results. Support team was responsive and helpful. Recording to fellow designer and turnkey contractors
Minimalix,4,Gulshan Singh,"Team Minimalis's delivered me best possible services as per my expectations, their customer support team are more than enough polite and supportive."
Minimalix,5,Kundan Kumar,Good company and polite and cooperative staff. Highly recommend
Minimalix,4,Kavish Mehta,"Trusted, sharing unshared leads and easy replacement."
Minimalix,5,Pintu Kumar,Wonderful customer service
Minimalix,5,raheesh chaudhary,Affordable services with excellent customer support
Minimalix,4,Fashing,"Great experience overall. Team is supportive, but could improve on timeliness. Good work quality, Recommended!"
