Company,rating,reviewer,review_text,review_length,clean_text,processed_text,segment,topic,sentiment_score,sentiment_label,topic_name
Minimalix,1,Hardik Ojha,"I had a very disappointing experience with Minimalics Official.
 
 I joined expecting verified and quality leads, but the leads shared with me turned out to be completely useless and unqualified. Out of the 3 leads I received, two were junk leads that did not meet the promised standards. On the other hand, I payed for 6 leads out of which they shared only 3.
 
 After receiving the poor-quality leads, I emailed the team requesting a replacement, but I never received any response. Even more concerning, the remaining three leads that were supposed to be shared were never provided.
 
 I made multiple phone calls and followed up repeatedly to resolve the issue, but instead of addressing my concerns, they eventually blocked my number. This level of unprofessional behavior and lack of customer support is unacceptable.
 
 Based on my experience, I would not recommend Minimalics Official to anyone looking for reliable lead-sharing services. The leads provided were of poor quality, commitments were not fulfilled, and customer concerns were ignored.",1054,i had a very disappointing experience with minimalics official i joined expecting verified and quality leads but the leads shared with me turned out to be completely useless and unqualified out of the leads i received two were junk leads that did not meet the promised standards on the other hand i payed for leads out of which they shared only after receiving the poor quality leads i emailed the team requesting a replacement but i never received any response even more concerning the remaining three leads that were supposed to be shared were never provided i made multiple phone calls and followed up repeatedly to resolve the issue but instead of addressing my concerns they eventually blocked my number this level of unprofessional behavior and lack of customer support is unacceptable based on my experience i would not recommend minimalics official to anyone looking for reliable lead sharing services the leads provided were of poor quality commitments were not fulfilled and customer concerns were ignored,disappointing experience minimalics official join expect verified quality lead lead share turn completely useless unqualified lead receive junk lead meet promise standard hand pay lead share receive poor quality lead email team request replacement receive response concern remain lead suppose share provide multiple phone call follow repeatedly resolve issue instead address concern eventually block number level unprofessional behavior lack customer support unacceptable base experience recommend minimalics official look reliable lead sharing service lead provide poor quality commitment fulfil customer concern ignore,Partner,1,-0.9203,Negative,Customer Service & Support
Minimalix,5,Vipin Pal,"Recently I subscribed PLP Pro Plus, out of 6 leads 4 visit is done 1 convertrted and remaining 2 leads in follow-up. Good company",129,recently i subscribed plp pro plus out of leads visit is done convertrted and remaining leads in follow up good company,recently subscribe plp pro plus lead visit convertrte remain lead follow good company,Partner,1,0.4404,Positive,Customer Service & Support
Minimalix,5,Johnsan Barla,As per my overall experience Minimalix is one of the best company in terms of pricing and customer suppor. Highly recommend,123,as per my overall experience minimalix is one of the best company in terms of pricing and customer suppor highly recommend,overall experience minimalix good company term pricing customer suppor highly recommend,General,1,0.7902,Positive,Customer Service & Support
Minimalix,5,The Design Studiokl,"1/5
 
 My experience with Minimalix has been extremely disappointing.
 
 I spent nearly two weeks following their process, providing information, responding to requests, and waiting for results. During this entire period, I did not receive any meaningful leads from my area despite the expectations set when I joined.
 
 After realizing that the service was not delivering what was promised, I requested cancellation and a refund. Since then, I have had to repeatedly follow up for updates. Even after providing all the information they requested, including my bank account details, I continue to receive vague responses stating that the matter is ""under investigation.""
 
 I was specifically told that I would receive an update within 24 hours. That deadline passed without any meaningful response, refund initiation date, or clear timeline for when my money would be returned.
 
 The most frustrating part is the lack of transparency and accountability. Two weeks were wasted waiting for results that never came, and now I am left chasing my own money.
 
 At this point, it feels as though once a customer has paid the money, the company treats it as if it were a donation rather than a payment for a service. Customers should not have to spend weeks waiting for promised results and then spend additional time chasing a refund.
 
 Customers deserve honest communication, timely support, and a refund process that does not require constant follow-ups.
 
 I hope Minimalix resolves this matter immediately and improves the way it handles customer concerns and refund requests",1576,my experience with minimalix has been extremely disappointing i spent nearly two weeks following their process providing information responding to requests and waiting for results during this entire period i did not receive any meaningful leads from my area despite the expectations set when i joined after realizing that the service was not delivering what was promised i requested cancellation and a refund since then i have had to repeatedly follow up for updates even after providing all the information they requested including my bank account details i continue to receive vague responses stating that the matter is under investigation i was specifically told that i would receive an update within hours that deadline passed without any meaningful response refund initiation date or clear timeline for when my money would be returned the most frustrating part is the lack of transparency and accountability two weeks were wasted waiting for results that never came and now i am left chasing my own money at this point it feels as though once a customer has paid the money the company treats it as if it were a donation rather than a payment for a service customers should not have to spend weeks waiting for promised results and then spend additional time chasing a refund customers deserve honest communication timely support and a refund process that does not require constant follow ups i hope minimalix resolves this matter immediately and improves the way it handles customer concerns and refund requests,experience minimalix extremely disappointing spend nearly week follow process provide information respond request wait result entire period receive meaningful lead area despite expectation set join realize service deliver promise request cancellation refund repeatedly follow update provide information request include bank account detail continue receive vague response state matter investigation specifically tell receive update hour deadline pass meaningful response refund initiation date clear timeline money return frustrating lack transparency accountability week waste wait result come leave chase money point feel customer pay money company treat donation payment service customer spend week wait promise result spend additional time chase refund customer deserve honest communication timely support refund process require constant follow up hope minimalix resolve matter immediately improve way handle customer concern refund request,Partner,1,0.574,Positive,Customer Service & Support
Minimalix,1,Supriya Vimal,"Very BadMost of the leads were either invalid, not Very Badinterested, or just enquiry
 It felt like a complete waste of money and time. Customer support was also not helpful in resolving the issue. Would not recommend for serious interior professionals",253,very badmost of the leads were either invalid not very badinterested or just enquiry it felt like a complete waste of money and time customer support was also not helpful in resolving the issue would not recommend for serious interior professionals,badmost lead invalid badinterested enquiry feel like complete waste money time customer support helpful resolve issue recommend interior professional,Partner,1,-0.4596,Negative,Customer Service & Support
Minimalix,5,Phula Pal,Excellent experience with minimalix based upon initial collaboration with Minimalix,83,excellent experience with minimalix based upon initial collaboration with minimalix,excellent experience minimalix base initial collaboration minimalix,General,1,0.5719,Positive,Customer Service & Support
Minimalix,5,Mohd irshad,"They provide exceptional leads and engage in effective communication, supported by our extensive experience in the industry.",124,they provide exceptional leads and engage in effective communication supported by our extensive experience in the industry,provide exceptional lead engage effective communication support extensive experience industry,Partner,1,0.7943,Positive,Customer Service & Support
Minimalix,5,Ankush Thukral,"I had a very good experience working with Minimalix. They have been genuinely helpful in providing quality interior client leads. better than many other companies who say to provide the leads. 5/5 ratings from my side , hope to work longer with you.",249,i had a very good experience working with minimalix they have been genuinely helpful in providing quality interior client leads better than many other companies who say to provide the leads ratings from my side hope to work longer with you,good experience work minimalix genuinely helpful provide quality interior client lead well company provide lead rating hope work long,Partner,1,0.8955,Positive,Customer Service & Support
Minimalix,5,Shasheekant Yadav,Good company with excellent customer service,44,good company with excellent customer service,good company excellent customer service,General,1,0.765,Positive,Customer Service & Support
Minimalix,1,Soniya Chachan,"Extremely poor service. The leads shared were either not interested or completely unresponsive.
 
 It has now been over 2 weeks, and despite repeated follow-ups, I have only been given false assurances that the leads will be replaced. No actual action has been taken.
 
 This has resulted in a complete waste of time and money. Highly disappointed with the lack of professionalism and accountability. Would not recommend their services to anyone.
 
 After posting a genuine review, this is the kind of response you get. No accountability, no effort to resolveâjust unprofessional behavior.",591,extremely poor service the leads shared were either not interested or completely unresponsive it has now been over weeks and despite repeated follow ups i have only been given false assurances that the leads will be replaced no actual action has been taken this has resulted in a complete waste of time and money highly disappointed with the lack of professionalism and accountability would not recommend their services to anyone after posting a genuine review this is the kind of response you get no accountability no effort to resolve just unprofessional behavior,extremely poor service lead share interested completely unresponsive week despite repeat follow up give false assurance lead replace actual action take result complete waste time money highly disappointed lack professionalism accountability recommend service post genuine review kind response accountability effort resolve unprofessional behavior,Partner,1,-0.9457,Negative,Customer Service & Support
